item_id_A,item_id_B,name_A,name_B,reason,prior_decision_reason,gpt_evidence
356499,953132,"Lance Sandwich Crackers, ToastChee Peanut Butter, 20 Individually Wrapped Packs, 6 Sandwiches Each",Lance ToastChee Peanut Butter Sandwich Crackers,POLISH_COUNT_MISMATCH_20_VS_10,AGGRESSIVE_MATCH_LANE,
2051421,101856,"Honey Stinger Organic Energy Waffle Snack, Honey, 1.06 oz, 6 Count Box","Honey Stinger Energy Waffle, Honey",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2773285,97952,"Horizon Organic Shelf Stable 1% Lowfat DHA Omega-3 Chocolate Milk Boxes, 8 fl oz, 12 Count","Horizon Organic Milk, Lowfat, Organic, DHA Omega-3, Chocolate",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2068331,93478,"Pillsbury Frozen Toaster Strudel Pastries, Strawberry, 6 Ct, 11.7 oz",Pillsbury Toaster Strudel Strawberry Pastries,POLISH_COLLISION_AMBIGUOUS_COUNT,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1920651,103691,"Mission Super Soft Flour Tortillas, Burrito Size, 8 Count","Mission Super Soft Flour Tortillas, Large, Burrito",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
356433,105341,"CLIF BUILDERS Protein Bars Chocolate Mint Flavor, Plant Protein, Gluten Free Bars, 6ct","CLIF BUILDERS Protein Bar, Chocolate Mint",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1920648,96510,"Mission Super Soft Sweet Hawaiian Flour Tortillas, Street Tacos Size, 10 Count","Mission Flour Tortillas, Street Tacos",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2071265,99517,"Great Value Heart Healthy 98% Fat Free and 46% Reduced Sodium Chicken Noodle Soup, 18.6 oz Can",Wegmans Reduced Sodium Hearty Chicken Noodle Soup,POLISH_PRIVATE_FAT_STATUS,GPT_V17_STRUCTURED_MATCH,CLEAR
2090962,104672,"Purina Busy Bone Original Chew Large Dog Chew Treats, 7 oz.",Busy Bone Original Large Dog Treats,POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
2069273,105341,"CLIF BUILDERS Protein Bars Chocolate Mint Flavor, Plant Protein, Gluten Free Bars, 12ct","CLIF BUILDERS Protein Bar, Chocolate Mint",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2678708,105708,"Knorr Chicken Flavor Bouillon Cubes, 112 Count","KNORR Bouillon, Chicken Flavor, Cubes, Extra Large",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,CLEAR
2052620,95526,"Mission Super Soft Flour Tortillas, Soft Taco Size, 20 Count","Mission Super Soft Flour Tortillas, Soft Taco, Super Soft",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2757957,101983,"Cracker Barrel Sharp Cheddar Mac N Cheese Macaroni and Cheese Dinner, 3 ct Pack, 14 oz Boxes",Cracker Barrel Sharp Cheddar Macaroni & Cheese Dinner,POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2060105,100455,"Pedigree Dentastix Original Flavor, Large Breed Dog Treats, 2.08 Lb. Bag","Pedigree Dentastix Dog Treats, Original with Real Chicken, Large 40+ Lb (18+ kg)",POLISH_COLLISION_AMBIGUOUS_SIZE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2059708,104672,"Purina Busy Bone Original Chew Large Dog Chew Treats, 21 oz.",Busy Bone Original Large Dog Treats,POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
1941061,108216,"Colgate 360 Advanced Floss-Tip Bristles Adult Manual Toothbrush, Soft, 2 Pack","Colgate 360 Advanced Floss Tip Adult Manual Floss Tip Toothbrush, Soft",POLISH_COUNT_MISMATCH_2_VS_4,GPT_V17_STRUCTURED_MATCH,PROBABLE
1920653,98324,"Mission Super Soft Extra Thin Yellow Corn Tortillas, 24 Count",Mission Super Soft Extra Thin Yellow Corn Tortillas,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2756042,952000,"Folgers Black Silk Dark Roast Coffee, 12 Keurig K-Cup Pods","Folgers Coffee, Dark, Black Silk, K-Cup Pods",POLISH_COUNT_MISMATCH_12_VS_10,AGGRESSIVE_MATCH_LANE,
2380999,949931,"REFRESH OPTIVE MEGA-3 PF Lubricant Eye Drops Preservative-Free Artificial Tears, 0.33 fl oz (10mL)","Refresh Mega-3 Eye Drops, Lubricant, Optive",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
2383251,99065,"Takis Blue Heat Mini 10 pc / 1 oz Bite Size Box, Hot Chili Pepper Rolled Tortilla Chips",Takis Extreme Blue Heat Tortilla Chips,POLISH_COLLISION_NET_SIZE,GPT_V17_STRUCTURED_MATCH,PROBABLE
1931991,104752,"Goldfish Cheddar Cheese Crackers, 10 oz Bag",Goldfish Cheddar Cheese Crackers,POLISH_COLLISION_NET_SIZE,AGGRESSIVE_MATCH_LANE,
285074,97667,"Pop-Tarts Frosted Strawberry Toaster Pastries, Breakfast Foods, Shelf-Stable, 13.5 oz (8 Count)","Pop-Tarts Toaster Pastries, Frosted Strawberry",POLISH_COLLISION_AMBIGUOUS_SIZE,GPT_V17_STRUCTURED_MATCH,CLEAR
1913060,94897,"White Castle Classic Cheese Sliders, 16Ct (8-2Pks)",White Castle Classic Cheese Sliders,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
283306,93272,"Kraft Singles American Slices, 24 Count Pack",Kraft Singles American Cheese Slices,POLISH_COLLISION_COUNT_MISMATCH_TO_B,GPT_V17_STRUCTURED_MATCH,PROBABLE
284646,95192,"Popsicle Orange Cherry Grape Sugar Free Ice Pops, 18 Count","Popsicle Ice Pops, Sugar Free, Orange/Cherry/Grape",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1920649,95526,"Mission Super Soft Flour Tortillas, Soft Taco Size, 10 Count","Mission Super Soft Flour Tortillas, Soft Taco, Super Soft",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
374500,100825,"Ortega Yellow Corn Taco Shells, Kosher, Gluten Free, 12 Count, 4.9 oz",Ortega Yellow Corn Taco Shells,POLISH_COLLISION_AMBIGUOUS_COUNT,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1920953,103459,"MET-Rx Big 100 High Protein Meal Replacement Bars, Peanut Butter Pretzel, 30g Protein, 3.52 oz, 4 Count","MET-RX Big 100 Meal Replacement Bar, Peanut Butter Pretzel",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2061320,951260,"Once Upon a Farm Organic Tractor Wheels Toddler Bar, Strawberry, Pumpkin & Beet, 5ct","Once Upon a Farm Organic Tractor Wheels Toddler Bar, Strawberry, Pumpkin & Beet",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2057974,1087614,"Honey Stinger Organic Energy Waffle Snack, Peanut Butter Strawberry, 1.06 oz, 6 Count",Honey Stinger Peanut Butter Strawberry Energy Waffle + Nut Butter,POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
362827,96510,"Mission Super Soft Flour Tortillas, Street Tacos Size, 12 Count","Mission Flour Tortillas, Street Tacos",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2055750,97667,"Pop-Tarts Breakfast Toaster Pastries, Frosted Strawberry Flavored, 14.7 oz 8 Ct","Pop-Tarts Toaster Pastries, Frosted Strawberry",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1912327,102259,"Zbar Iced Oatmeal Cookie Soft-Baked Energy Snack Bars, Organic Granola Bars, Snacks for Kids, 12 count","ZBAR Iced Oatmeal Cookie, Soft-Baked Energy Snack Bar",POLISH_COLLISION_COUNT_MISMATCH_TO_B,GPT_V17_STRUCTURED_MATCH,PROBABLE
2054320,952714,"Quest Tortilla Style Protein Chips, Nacho Cheese, 1.1oz, 1 Ct",Quest Tortilla Style Nacho Cheese Flavor Protein Chips,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,CLEAR
2054458,105988,"Power Crunch Original Protein Energy Bars, Triple Chocolate, 1.4 oz, 5 Count","Power Crunch Protein Energy Bar, Triple Chocolate Flavored",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2051367,97604,"Honey Stinger Organic Gluten-Free Energy Waffle Snack, Salted Caramel, 1.06 oz, 6 Count","Honey Stinger Energy Waffle, Gluten-Free, Salted Caramel",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2054733,952662,"Pringles Snack Cups 3 Flavor Variety Pack Potato Crisps Chips, Lunch Snacks, 27 Count","Pringles Potato Crisps Chips, Variety Pack, Snack Cups",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,CLEAR
2054457,98809,"Power Crunch Original Protein Energy Bars, S'mores, 1.4 oz, 5 Count","Power Crunch Protein Energy Bar, S'mores Flavored",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
1937614,951408,"Enfamil NeuroPro Ready to Feed Baby Formula, Brain Building Duo DHA & MFGM, 2 fl oz, 6 Count","Enfamil NeuroPro Ready to Feed Baby Formula, Brain Building Duo DHA & MFGM, 2 fl oz, 6pk",POLISH_COLLISION_NET_SIZE,GPT_V17_STRUCTURED_MATCH,CLEAR
1921628,1882672,"Maruchan Instant Lunch Ramen Noodles, Hot & Spicy Beef Flavor, 2.25 oz Cup","Maruchan Instant Lunch Ramen Noodle Soup, Beef Flavor",POLISH_NATIONAL_HOT_SPICY_VARIANT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2065574,95777,"NOKA Organic Cherry Acai Smoothie, 4.22 oz Pouches, 4 Count","Noka Superfood Smoothie, Cherry Acai",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2051854,99242,"Quaker Instant Oatmeal, Strawberries & Cream, 1.51 oz Cup","Quaker Oatmeal, Instant, Strawberries & Cream",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
1932005,104752,"Goldfish Cheddar Cheese Crackers, 27.3 oz Carton",Goldfish Cheddar Cheese Crackers,POLISH_COLLISION_NET_SIZE,AGGRESSIVE_MATCH_LANE,
1930560,99466,"Great Value Fat Free Sweetened Condensed Milk, 14 oz",Wegmans Sweetened Condensed Milk,POLISH_PRIVATE_FAT_STATUS,GPT_V17_STRUCTURED_MATCH,CLEAR
1921626,1882671,"Maruchan Instant Lunch Ramen Noodles, Hot & Spicy Shrimp Flavor, 2.25 oz Cup","Maruchan Instant Lunch Ramen Noodle Soup, with Shrimp",POLISH_NATIONAL_HOT_SPICY_VARIANT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2380651,952662,"Pringles Variety Pack Potato Crisps Chips, Lunch Snacks, 18 Count","Pringles Potato Crisps Chips, Variety Pack, Snack Cups",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2052275,95191,"Popsicle Orange Cherry Grape Ice Pops 40 Calories, 18 Count",Popsicle Ice Pops Orange Cherry Grape,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
374642,112860,"Afrin No Drip Severe Congestion Pump Mist Nasal Spray, 12 Hour Congestion Relief, 15 mL, 2 Count","Afrin Severe Congestion, Nasal Spray",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2068849,97871,"Perfect Bar Gluten-Free Dark Chocolate Chip Peanut Butter Protein Bar, 4 count, 2.3 oz","Perfect Bar Protein Bar, Dark Chocolate Chip Peanut Butter with Sea Salt",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
1933439,1083345,"FRONTLINE Plus for Dogs Flea & Tick Medium Breed Dog Spot Treatment, 23 - 44 lbs, 3 Count",Frontline Plus for Dogs 23 to 44 Lbs Flea and Tick Protection,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1941985,951808,"Cheez-It Smoked Cheddar Baked Snack Crackers, Lunch Snacks, 10 Count","Cheez-It Baked Snack Crackers, Smoked Cheddar",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1935317,113874,"Febreze Air Freshener Spray, Odor-Fighting Room Spray, Linen & Sky, 8.8oz, 2 Count",Febreze Air Freshener Spray Odor-Fighting Room Spray Linen & Sky,POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
599658,952446,"Gatorade Thirst Quencher Fruit Punch Sports Drinks, 20 fl oz, 8 Count Bottles","Gatorade Thirst Quencher, Fruit Punch",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
379092,952449,"Gatorade Thirst Quencher Lemon Lime Sports Drinks, 20 fl oz, 8 Count Bottles","Gatorade Thirst Quencher, Lemon Lime",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2258301,93065,"Silk Dairy Free, Gluten Free Unsweet Soy Milk, Plant Based Milk Half Gallon, 64 fl oz",Silk Original Dairy Free Vegan Soy Milk,POLISH_NATIONAL_UNSWEET_VARIANT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2054989,953033,"Snickers Fun Size Peanut Butter Chocolate Bars , Sharing Size - 8.29 oz Bag","Snickers Chocolate Bars, Fun Size",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
285118,952662,"Pringles Variety Pack Potato Crisps Chips, Lunch Snacks, 18 Count","Pringles Potato Crisps Chips, Variety Pack, Snack Cups",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1948604,109108,"Air Wick Essential Mist Scented Oil Air Freshener Diffuser Refills, Linen and Petals, 3 Count","Air Wick Essential Oils Scented Oil Refills, Fresh Linen",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1935235,950521,"Febreze Car Air Freshener, Odor-Fighting Car Vent Clip, Unstopables Fresh, 3 Count","Febreze Car Odor-Fighting Vent Clip Fresh Scent, Unstopables Fresh Scent",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1939935,115729,"Degree UltraClear Antiperspirant Deodorant Dry Spray Black+White Pure Clean, 3.8 oz 2 Count","Degree UltraClear Antiperspirant Deodorant, Pure Clean, Black + White, Dry Spray",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1938296,93896,"Drumstick The Original Vanilla Sundae Cones, Kosher, 8 Count",Drumstick Original Vanilla Sundae Cones,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2055862,103857,"Pure Protein Bars, Chocolate Deluxe, Gluten Free, 21g Protein, 1.76 oz, 4 Count","Pure Protein Protein Bar, Gluten Free, Chocolate Deluxe",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2252527,97635,"FITCRUNCH High Protein Baked Bar, Chocolate Chip Cookie Dough, 16g Protein, 1.62 oz, 4 Count","FITCRUNCH Baked Bar, Whey Protein, Gluten Free, Chocolate Chip Cookie Dough",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,CLEAR
1941353,110718,"Clearblue Early Digital Pregnancy Test, 3 Tests",Clearblue Early Digital Pregnancy Test,POLISH_PREGNANCY_COUNT_3_VS_2,AGGRESSIVE_MATCH_LANE,
2057629,949931,"Refresh Optive Mega-3 Lubricant Eye Drops Preservative-Free Artificial Tears, 0.4 ml, 30 Count","Refresh Mega-3 Eye Drops, Lubricant, Optive",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2271910,113718,"Dove Men+Care Antiperspirant Deodorant Spray for Men Stain Defense Clean, 3.8 oz 2 Count","Dove Men+Care Antiperspirant, Stain Defense Clean, 72H Protection, Dry Spray",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,CLEAR
2267489,93896,"Drumstick The Original Vanilla Sundae Cones, 4 Count",Drumstick Original Vanilla Sundae Cones,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2780228,951260,"Once Upon a Farm Organic Tractor Wheels Toddler Bar, Strawberry, Pumpkin & Beet, 10ct","Once Upon a Farm Organic Tractor Wheels Toddler Bar, Strawberry, Pumpkin & Beet",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1935261,950521,"Febreze AUTO Car Air Freshener, Odor-Fighting Car Vent Clip, Unstopables Fresh, 2 Count","Febreze Car Odor-Fighting Vent Clip Fresh Scent, Unstopables Fresh Scent",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
1935300,113928,"Febreze Air Freshener Spray, Odor-Fighting Room Spray, Unstopables Fresh, 8.8oz, 2 Count",Febreze Air Freshener Spray Odor-Fighting Room Spray Fresh,POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2082695,952449,"Gatorade Thirst Quencher, Lemon Lime 20.28 fl oz, 6 Count Bottles","Gatorade Thirst Quencher, Lemon Lime",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1930565,95204,"Great Value Fat Free Orange Sherbet, 48 fl oz",Wegmans Orange Sherbet,POLISH_PRIVATE_FAT_STATUS,GPT_V17_STRUCTURED_MATCH,CLEAR
284906,951716,"Powerade Zero Mixed Berry Sports Drink, 20 fl oz Plastic Bottles, Allergens Not Contained",Powerade Mixed Berry Electrolyte Sports Drink Bottles,POLISH_B_MULTIPACK_VS_A_SINGLE,GPT_V17_STRUCTURED_MATCH,CLEAR
2082710,952446,"Gatorade Thirst Quencher, Fruit Punch 20.28 fl oz, 6 Count Bottles","Gatorade Thirst Quencher, Fruit Punch",POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1924362,96526,"Knox Original Unflavored Gelatin, 4 ct. Packets",Knox Original Unflavored Gelatin,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2049436,951152,"Renuzit Gel Air Freshener, After the Rain, 7.0 Ounce, 3 Count","Renuzit Gel Air Freshener, After the Rain",POLISH_COLLISION_AMBIGUOUS_COUNT,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1920652,103691,"Mission Super Soft Flour Tortillas, Burrito Size, 16 Count","Mission Super Soft Flour Tortillas, Large, Burrito",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2124116,1083345,"Frontline Plus for Medium Dogs, 23-44 lbs, Flea & Tick Control, 3 Ct.",Frontline Plus for Dogs 23 to 44 Lbs Flea and Tick Protection,POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2060123,104672,"Purina Busy Bone Original Chew Large Dog Chew Treats, 35 oz.",Busy Bone Original Large Dog Treats,POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE,
1946975,104275,"Bigelow Green Tea with Ginger Plus Probiotics Green Tea Bags, 18 Count",Bigelow Lemon Ginger plus Probiotics,POLISH_NATIONAL_TEA_TYPE,GPT_V17_STRUCTURED_MATCH,PROBABLE
1939228,97804,"Domino Pure Cane Sugar Packets, 0.12 oz, 100 count",Domino Premium Pure Cane Sugar Packets,POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
1940492,948610,"Crest Mouthwash 3D White Clean Whitening, Breath Protection, Prevents Surface Stains, Kills Millions of Bad Breath Germs, Alcohol-Free, Radiant Mint Flavor, 16 fl oz","Crest 3D White Clean Whitening Mouthwash/Mouth Rinse, Alcohol-Free, Arctic Mint Flavor",POLISH_NATIONAL_EXPLICIT_MINT_VARIANT,GPT_V17_STRUCTURED_MATCH,CLEAR
1941355,950797,"Clearblue Early Detection Pregnancy Test, 5 Tests",Clearblue Early Detection Pregnancy Test,POLISH_PREGNANCY_COUNT_5_VS_2,AGGRESSIVE_MATCH_LANE,
2679362,100423,"Great Value Pear Halves in 100% Juice, 15 oz",Wegmans Canned Sliced Pears in Pear Juice from Concentrate,POLISH_PRIVATE_CUT_FORM,GPT_V17_STRUCTURED_MATCH,CLEAR
2753933,952000,"Folgers Black Silk Dark Roast Coffee, 72 Keurig K-Cup Pods","Folgers Coffee, Dark, Black Silk, K-Cup Pods",POLISH_COUNT_MISMATCH_72_VS_10,AGGRESSIVE_MATCH_LANE,
2070948,97636,"FITCRUNCH High Protein Baked Bar, Mint Chocolate Chip, 16g Protein, 1.62 oz, 12 Count","FitCrunch Baked Bar, High Protein, Mint Chocolate Chip",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2049599,107393,"Pledge Clean It Dust & Allergen Multisurface Cleaner Spray, Lemon Scent, 9.7 oz, 3 Count","Pledge Dust & Allergen Multisurface Cleaner, Aerosol Spray, Lemon Scent, 9.7oz",POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
356504,102986,"Quaker, Protein Instant Oatmeal, Banana Nut, 12.9 Oz, 6 Count (Pack of 1)","Quaker Protein Oatmeal, Instant, Banana Nut",POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2204670,110653,"Aussie 3 Minute Miracle Moist Detangling Deep Conditioner, Paraben Free, 8 fl oz",Aussie 3 Minute Miracle Moist Conditioner,POLISH_NATIONAL_DEEP_CONDITIONER_ROLE,GPT_V17_STRUCTURED_MATCH,CLEAR
1929381,100423,"Great Value Pear Halves in Pear Juice, 15 oz",Wegmans Canned Sliced Pears in Pear Juice from Concentrate,POLISH_PRIVATE_CUT_FORM,GPT_V17_STRUCTURED_MATCH,CLEAR
1939231,97804,"Domino Premium Pure Cane Sugar Packets, 100 Count, 1/8 oz",Domino Premium Pure Cane Sugar Packets,POLISH_COLLISION_AMBIGUOUS_SIZE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2387168,1089567,"Doritos Nacho Cheese Tortilla Chips 1 oz Bag, 40 Count","Doritos Tortilla Chips, Nacho Cheese",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,PROBABLE
2077627,1084664,"Payday Peanut Caramel Bar, 1.85 Oz., 6 Count",PayDay Peanut Caramel Bar,POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
2074770,1084664,"Payday Peanut Caramel Candy, Bars 1.85 oz, 6 Count",PayDay Peanut Caramel Bar,POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2260514,1084722,"Cadbury Chocolate Creme Egg Chocolate Easter Candy, Eggs 1.2 oz, 5 Count",Cadbury Chocolate Creme Egg,POLISH_OUTER_COUNT_VS_SINGLE,GPT_V17_STRUCTURED_MATCH,PROBABLE
1918847,953033,Snickers Fun Size Chocolate Candy Bars - 2.6 oz (5 pack),"Snickers Chocolate Bars, Fun Size",POLISH_COLLISION_AMBIGUOUS_SIZE,GPT_V17_STRUCTURED_MATCH,PROBABLE
2077745,93042,"President Imported Unsalted Butter Bar, 7 oz, 1 Count (Refrigerated) (Full)","President Butter, Unsalted",POLISH_COLLISION_AMBIGUOUS_COUNT,GPT_V17_STRUCTURED_MATCH,CLEAR
1925674,102905,"Jell-O Strawberry Gelatin Dessert Mix Value Pack, 4 ct Pack, 3 oz Boxes",Jell-O Strawberry Gelatin Dessert,POLISH_OUTER_COUNT_VS_SINGLE,AGGRESSIVE_MATCH_LANE_B_METADATA_QCONF,
